crs,transform,UTM_zone
EPSG:32727,"[10, 0, 400150, 0, -10, 1090450]",T27CVM
EPSG:32728,"[10, 0, 581890, 0, -10, 8725240]",T28LEN
EPSG:32729,"[10, 0, 200170, 0, -10, 8664720]",T29LKG
EPSG:32730,"[10, 0, 200170, 0, -10, 7779100]",T30KTC
EPSG:32731,"[10, 0, 526410, 0, -10, 2090410]",T31DEB
EPSG:32732,"[10, 0, 400150, 0, -10, 2090410]",T32DMG
EPSG:32733,"[10, 0, 400150, 0, -10, 2090410]",T33DVB
EPSG:32734,"[10, 0, 271950, 0, -10, 6606460]",T34JBM
EPSG:32735,"[10, 0, 200170, 0, -10, 7990440]",T35KKA
EPSG:32736,"[10, 0, 789620, 0, -10, 8521290]",T36LYL
EPSG:32737,"[10, 0, 271180, 0, -10, 8491490]",T37LBE
EPSG:32738,"[10, 0, 511930, 0, -10, 7118260]",T38JNS
EPSG:32739,"[10, 0, 200170, 0, -10, 7290420]",T39KTP
EPSG:32740,"[10, 0, 200170, 0, -10, 7613000]",T40KBB
EPSG:32741,"[10, 0, 600190, 0, -10, 1890430]",T41CPV
EPSG:32742,"[10, 0, 400150, 0, -10, 1890430]",T42CVE
EPSG:32743,"[10, 0, 400150, 0, -10, 2172760]",T43DDB
EPSG:32744,"[10, 0, 400150, 0, -10, 2390410]",T44DMK
EPSG:32745,"[10, 0, 400150, 0, -10, 2490430]",T45DVF
EPSG:32746,"[10, 0, 484930, 0, -10, 2690410]",T46DDN
EPSG:32747,"[10, 0, 647170, 0, -10, 9344040]",T47MPP
EPSG:32748,"[10, 0, 400150, 0, -10, 9885170]",T48MVD
EPSG:32749,"[10, 0, 582820, 0, -10, 2690410]",T49DEH
EPSG:32750,"[10, 0, 400150, 0, -10, 2590450]",T50DMM
EPSG:32751,"[10, 0, 670780, 0, -10, 8887520]",T51LXJ
EPSG:32752,"[10, 0, 773630, 0, -10, 6586550]",T52JGL
EPSG:32753,"[10, 0, 200170, 0, -10, 6573370]",T53JKF
EPSG:32754,"[10, 0, 545180, 0, -10, 5590440]",T54HWB
EPSG:32755,"[10, 0, 200170, 0, -10, 5990400]",T55HBA
EPSG:32756,"[10, 0, 294940, 0, -10, 9590400]",T56MKB
EPSG:32757,"[10, 0, 300190, 0, -10, 8541460]",T57LUF
EPSG:32758,"[10, 0, 400150, 0, -10, 1590430]",T58CDB
EPSG:32759,"[10, 0, 400150, 0, -10, 1800340]",T59CMU
EPSG:32760,"[10, 0, 241810, 0, -10, 5490420]",T60GTA
